Region,Population_Density,Poverty_Level,Police_Presence,Crime_Rate_Category
Region_A,1690,46,64,Low
Region_B,1881,51,50,High
Region_C,1294,37,26,Low
Region_D,1790,68,70,Between
Region_E,1102,26,98,High
Region_F,1244,62,73,Low
Region_G,1209,60,96,Between
Region_H,1487,59,43,High
Region_I,1772,41,59,Low
Region_J,785,34,41,Low
Region_K,958,44,43,Between
Region_L,708,71,29,High
Region_M,1169,63,54,Low
Region_N,1004,41,95,High
Region_O,1350,56,63,Low
Region_P,1192,39,71,Between
Region_Q,1006,24,30,High
Region_R,774,30,50,Low
Region_S,640,73,41,Between
Region_T,1180,55,100,High
Region_U,732,51,68,Low
Region_V,1668,55,25,Low
Region_W,1317,41,22,Between
Region_X,1363,20,91,High
Region_Y,1713,63,39,Between
Region_Z,1609,70,85,High
